tanggal,Trading,Investing,IHSG
2019-01-02,1000000000.0,1000000000.0,997306125.1500798
2019-01-03,1000000000.0,993678761.9108396,1003733325.7702525
2019-01-04,1000000000.0,997539243.3580899,1012370206.5036192
2019-01-07,1000000000.0,1002149848.8548459,1014416728.9045192
2019-01-08,998084851.4033754,1000792974.028328,1010483611.749246
2019-01-09,994121864.6450607,999704352.6493683,1011998748.9403808
2019-01-10,997256452.4630024,991814918.833553,1021110922.0340905
2019-01-11,997847738.1726387,993061017.8982588,1026395152.0651937
2019-01-14,1002988811.9541178,994515668.4469764,1022305258.5470691
2019-01-15,1014296300.8808444,1003079557.9616616,1034029924.5897816
2019-01-16,1011135686.0616572,1001730694.4852593,1034768191.5728371
2019-01-17,1020065323.8529508,1004066031.4138025,1036449401.4136658
2019-01-18,1018249714.851863,1002176773.6665963,1040382361.0047553
2019-01-21,1023492875.0903006,1007137506.8242095,1040814480.7787452
2019-01-22,1024230906.2568691,1009705150.0859244,1043674822.1888186
2019-01-23,1014607971.2395259,1003220117.9521931,1040868682.8579621
2019-01-24,1011652967.0065185,1000462656.5431497,1043367099.3379153
2019-01-25,1012624280.4426823,1005740091.2506815,1045978962.030183
2019-01-28,1001123372.5004927,1006471885.9967842,1042085551.0492198
2019-01-29,999112446.7306738,1009048259.100012,1038498523.623598
2019-01-30,1008945268.6805233,1026078492.1344249,1042969249.7738954
2019-01-31,1020495913.247236,1038238209.595402,1054066652.8010185
2019-02-01,1024605742.8532945,1035128014.9201856,1054981312.8878047
2019-02-04,1026135395.320452,1027146088.7341611,1045754433.0683104
2019-02-06,1045248531.8706498,1034973784.9998443,1056471948.8483633
2019-02-07,1031067155.8881398,1031685395.674679,1054629393.2833539
2019-02-08,1025923268.7566452,1028628139.2306044,1052242453.4634182
2019-02-11,1013357049.5034856,1027819244.5432007,1047940793.6823064
2019-02-12,998233559.5680159,1003157559.5710068,1036860092.458663
2019-02-13,997406398.6188455,1002338009.9368787,1035696953.654071
2019-02-14,1005680724.1045113,998119534.4517035,1035842464.1777828
2019-02-15,991872418.9825041,998437119.4946214,1030851539.8747679
2019-02-18,1015561037.3616977,1021605716.7051744,1048394657.3136567
2019-02-19,1029721954.2175317,1017271635.8449633,1047886749.1672733
2019-02-20,1035468520.6657778,1020364559.3532234,1050809879.904579
2019-02-21,1041382586.4453535,1020990819.4488391,1054840608.071698
2019-02-22,1044100979.4139245,1017680982.7515087,1048969530.2381425
2019-02-25,1051069748.4919882,1021598001.7238128,1052838597.552713
2019-02-26,1050224818.4904734,1023352641.5499679,1055354346.0928808
2019-02-27,1032764887.1260605,1020721807.7437996,1052891066.4259086
2019-02-28,1022274937.2050765,1005330081.4613364,1039606672.5280542
2019-03-01,1031585131.7856479,1009394898.8309028,1048728457.036974
2019-03-04,1031638604.7186496,1015479997.5041459,1046878811.0836949
2019-03-05,1020804385.9935275,1009293705.3983408,1039272951.5868288
2019-03-06,1023288193.7456466,1011750462.9521013,1041963596.3709817
2019-03-08,999799167.4249729,990324888.1526983,1029880708.1564674
2019-03-11,1000960103.7199872,999043928.6482449,1027196917.4143087
2019-03-12,992352225.4227366,990672081.9743247,1025154255.335911
2019-03-13,993953177.8854599,983267709.0875392,1028994488.4048517
2019-03-14,999139509.7585874,982821884.5357711,1034753065.4111952
2019-03-15,1017138128.0211208,989935033.9343287,1042484267.2162505
2019-03-18,1011521052.1527131,998713999.2977393,1050271404.3065442
2019-03-19,1008004929.1394973,993844727.9309499,1045564804.5731428
