tanggal,Trading,Investing,IHSG
2021-01-04,1000000000.0,1000000000.0,1017851101.0980859
2021-01-05,1027752619.7989081,1027752619.7989081,1023260528.1402225
2021-01-06,1029540761.543637,1029540761.543637,1011312766.4334334
2021-01-07,1051364032.5364904,1051364032.5364904,1025976516.8978755
2021-01-08,1078040986.8803632,1078040986.8803632,1043349824.7575865
2021-01-11,1089652040.650219,1089652040.650219,1064207709.884662
2021-01-12,1103578221.128843,1069714253.0557373,1066330466.51963
2021-01-13,1098228768.1354716,1081382234.2550035,1072922205.9149647
2021-01-14,1094765701.7049522,1073747831.0264044,1071773434.3377439
2021-01-15,1084676939.552393,1055024628.0127602,1062619651.8337198
2021-01-18,1082907940.19379,1053452029.6310254,1065357621.1969889
2021-01-19,1058741102.5396732,1036170299.28328,1054023851.0737444
2021-01-20,1098148557.5287602,1063440245.0127349,1072013999.8547652
2021-01-21,1092383236.205535,1057000575.9148232,1069368756.0833361
2021-01-22,1068855336.4777203,1033033875.9707909,1051568128.968517
2021-01-25,1058182783.2288928,1006214031.6996534,1043472671.9200857
2021-01-26,1028920569.9685414,981954312.8906006,1023732052.8355144
2021-01-27,1010297383.718081,998332680.0527557,1018563028.4910982
2021-01-28,994322323.4553579,983408865.3752782,996925076.0936003
2021-01-29,952445527.753617,973021678.8644147,977412159.8012823
2021-02-01,994500021.2649834,990387887.2602165,1011623344.2498248
2021-02-02,972442068.3645431,1005218576.9907866,1007671231.3600394
2021-02-03,960498189.6778189,996592327.1789702,1013323991.847312
2021-02-04,965977867.632699,991095637.1120098,1018237552.7086781
2021-02-05,988460692.5777082,1019655825.3348409,1025659100.6708481
2021-02-08,1006899011.4228402,1045132378.9035125,1035185413.7352408
2021-02-09,1010333484.4204854,1036089011.2799306,1030651384.6641803
2021-02-10,1030464950.770917,1055253152.0243465,1034011975.0339397
2021-02-11,1027900177.7461196,1050113684.8104422,1037462034.6095219
2021-02-15,1023335240.3412558,1049752425.8168876,1045432120.7962906
2021-02-16,1024415871.7814231,1047155741.4800651,1049112081.2246877
2021-02-17,1011145999.9810394,1033352044.9416295,1038330187.1217097
2021-02-18,1024944424.3798167,1049955552.4199008,1033758546.7921504
2021-02-19,1035853142.3825686,1053174585.9461024,1039031124.211914
2021-02-22,1076308591.196692,1098967198.1456423,1042929181.0938135
2021-02-23,1068000935.5909762,1096762245.0916262,1045846088.8687283
2021-02-24,1090331168.3301153,1112792764.0457942,1042219288.942062
2021-02-25,1098475415.8381581,1124762176.2861059,1048653582.0734648
2021-02-26,1099510449.2490041,1119211959.5146701,1040675680.5602547
