tanggal,Trading_Old,Trading_Opt,Investing_Old,Investing_Opt,Hybrid_Old,Hybrid_Opt,IHSG
2022-01-03,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1012002007.6123204
2022-01-04,1017633785.7200875,1003820836.1249166,1017633785.7200875,1003820836.1249166,1017633785.7200875,1003820836.1249166,1016566805.0050932
2022-01-05,1009084379.8410151,999123405.646052,1009084379.8410151,999123405.646052,1009084379.8410151,999123405.646052,1011545105.295856
2022-01-06,1010784662.4475298,988689277.1274872,1010784662.4475298,988689277.1274872,1010784662.4475298,988689277.1274872,1010186556.7076344
2022-01-07,1023863951.0321839,996926549.5490441,1023863951.0321839,996926549.5490441,1023863951.0321839,996926549.5490441,1017469118.5039879
2022-01-10,1017836413.90599,993004232.5490358,1017836413.90599,993004232.5490358,1017836413.90599,993004232.5490358,1015921670.499516
2022-01-11,1017827010.4248616,999560266.3688802,1017877007.677026,970543034.6269714,1017877007.677026,970543034.6269714,1009369574.1459864
2022-01-12,1022908990.9655963,998989996.1804461,1022895254.7091093,962294255.2919284,1022895254.7091093,962294255.2919284,1009232125.3556693
2022-01-13,1026354369.4884605,1007342177.0536177,1026347985.0142616,969838620.9233187,1026347985.0142616,969838620.9233187,1010946454.2808553
2022-01-14,1034021889.539564,1012122535.0232202,1034065948.2851119,967091658.296529,1034065948.2851119,967091658.296529,1016267368.29307
2022-01-17,1035911156.295481,1010212830.2256279,1035962677.1036838,961710445.0110339,1035962677.1036838,961710445.0110339,1008925868.0995741
2022-01-18,1030236128.8683844,1010169464.274648,1034100731.3302665,958794928.9655828,1034100731.3302665,958794928.9655828,1004220804.735237
2022-01-19,1019021885.7937001,998414303.7340299,1025607813.2676876,953233601.4595286,1025607813.2676876,953233601.4595286,1000868655.5966272
2022-01-20,1021774340.9363183,1004765669.0974615,1032553279.9451764,967060135.4379236,1032553279.9451764,967060135.4379236,1006166068.3863335
2022-01-21,1040076819.6135572,1021110795.3501706,1048921068.7928915,975095701.1978601,1048921068.7928915,975095701.1978601,1021273573.5054483
2022-01-24,1028762210.0440859,1012156300.7262346,1038015907.1645279,958790324.8557967,1038015907.1645279,958790324.8557967,1010462121.5154064
2022-01-25,988281394.76228,983827262.3479944,1024143868.5747229,939156752.3826886,1024143868.5747229,939156752.3826886,997253841.3749032
2022-01-26,1010031715.3120955,1015817347.0094178,1044623980.3798225,970923736.3401322,1044623980.3798225,970923736.3401322,1002210523.5064121
2022-01-27,1003419976.8991288,1023148825.5416723,1048197984.130152,972414526.7391849,1048197984.130152,972414526.7391849,1003780805.506255
2022-01-28,1017433955.2815193,1045108878.860999,1058707506.9532249,968269866.3014826,1058707506.9532249,968269866.3014826,1008996223.494402
2022-01-31,1014558272.4633795,1032320306.145743,1037692885.974061,951238317.5996042,1037692885.974061,951238317.5996042,1006815873.481873
2022-02-02,1000921328.3356687,1031248774.6873906,1042956783.3305475,973545613.9702764,1042956783.3305475,973545613.9702764,1018431111.7635111
2022-02-03,1006702648.9380387,1028461048.4442174,1043124079.1141496,951301889.3945148,1039942625.6123949,951968692.9946524,1014817409.5870161
2022-02-04,1007864923.8855821,1025585626.1167529,1049396585.7904727,953462936.0498593,1044054046.3657408,953530595.7226506,1022035472.7600815
2022-02-07,1021112489.5344715,1035050514.5729808,1066172205.5426747,958927879.7825567,1066334461.0923811,966151466.2206584,1033202037.8599505
2022-02-08,1036192793.2373872,1032432143.0615686,1070214826.5311475,948792177.6147532,1075344858.5579638,954648294.8779191,1030861553.3344307
2022-02-09,1047863933.3650033,1044707023.4010212,1082800333.3598373,963146489.8578476,1087385302.1084845,969534025.5862409,1037706710.6740032
2022-02-10,1047058842.9549532,1045709843.3974383,1091698639.4945633,967627210.8307915,1086610366.9940197,972149640.1015735,1036042053.1023839
2022-02-11,1048751601.6263607,1048562480.9258354,1092911911.5860438,970493029.5703478,1088323639.762454,975015458.8411298,1034822065.3497087
2022-02-14,1038536982.3513486,1038829601.6826313,1087102064.7100136,966292872.2973855,1077812457.6869147,962325716.728142,1022505348.9375521
2022-02-15,1038629227.0886447,1045318739.6541779,1102513582.4109511,984185514.7604107,1097301295.59124,981880439.9334781,1033590734.7356966
2022-02-16,1027717754.3848897,1040722889.2980788,1103517503.1788914,979501802.5742038,1099460622.3816204,979061867.4997191,1040074106.6940676
2022-02-17,1023095205.7340628,1031218436.6182317,1099562881.467336,975188393.3287678,1093041723.9577868,972950994.8659914,1037784331.4309947
2022-02-18,1030401049.9686466,1039799293.6253428,1103394055.4144773,976994610.209047,1105234932.6280284,981947002.0869323,1046545097.8822211
2022-02-21,1021299676.5801108,1029842904.8473577,1103465984.5937717,971567554.4046134,1114017214.7373097,983110561.0895615,1048085725.3426212
2022-02-22,1030232985.0920228,1016226420.202556,1091988840.9078262,971035217.7657282,1102119963.0011709,978350372.5641944,1041865092.6037132
2022-02-23,1042937713.6362661,1035337715.0828154,1106051206.9767709,984806110.9484046,1114325859.3155205,992720425.4773434,1050680719.9529086
2022-02-24,1032262928.2284489,1045798818.2241496,1086922209.2578244,981708254.7463516,1085643998.852564,980273059.2210585,1035158051.2815951
2022-02-25,1045495839.51623,1053682483.4316617,1106380037.9100049,986770123.451263,1106636287.1747758,991326383.0025599,1045839542.2525293
2022-03-01,1049842825.4437848,1069039605.5152494,1107410085.0888057,978028415.8925759,1124202843.11691,999428557.2967007,1050890970.6375579
2022-03-02,1043047076.1033452,1063050754.9791056,1115986010.6117597,992068985.0740671,1088182787.5245,997218625.7275118,1042837983.9064815
2022-03-04,1065739154.1622369,1121661277.332702,1126677153.2238386,1009001310.4901178,1104605189.0368612,1014238842.2391387,1051936663.8346583
2022-03-07,1082661280.128095,1139595177.4509017,1119936326.1181293,1019287623.0549778,1092208612.059489,1024578587.4567571,1042938809.3405869
2022-03-08,1050586195.2627218,1115173968.4324553,1113395953.2834718,1002753485.4274726,1095283317.663139,1007958656.9002701,1034605883.7571709
2022-03-09,1069663192.3306154,1136584057.1155243,1134714449.9265583,1020889632.6901641,1114554493.1580997,1026188872.8111303,1042236589.8465823
2022-03-10,1061642284.5337214,1125875817.5354996,1132655727.4848003,1012608278.2045698,1113997089.1722155,1017864522.3401741,1051280705.4221843
2022-03-11,1073862179.1201453,1138381616.2577906,1142312416.4792368,1024305484.0688407,1121898654.7773767,1029622425.7206528,1051067266.8745451
2022-03-14,1058244673.3213947,1124267892.8340669,1137787467.048188,1006823970.5613099,1116165132.484347,1012050158.3569359,1055561783.0088387
2022-03-15,1058290139.3676983,1098925715.894175,1126731639.94792,989586047.000871,1108691473.6853247,994722757.7679671,1050396629.465047
2022-03-16,1085557904.57727,1125329805.4531286,1154933762.047177,1013204305.8983405,1131473630.8594155,1018463573.3757902,1061664019.9990215
2022-03-17,1077768961.4863253,1122717283.1063018,1147172764.6950126,1011269685.3132517,1124317073.4704275,1016518963.6443229,1057411188.3611865
2022-03-18,1073857384.0430586,1126232030.9388766,1143323297.4544122,1014368160.0546306,1124163687.584429,1019633543.6256771,1055980949.9238621
2022-03-21,1080334587.2287102,1128140928.967752,1150387806.483754,1016790638.0759475,1121761796.7613487,1022068593.3477468,1056013792.3262949
2022-03-22,1096325023.949465,1143552512.1339118,1152392690.8337896,1018552383.6102936,1122577200.7289498,1023839475.2969371,1062943465.1032795
2022-03-23,1083986196.1103919,1137509098.8692656,1145814088.042435,1013869129.7010906,1121604982.3109887,1019131923.5023988,1062228864.8390574
2022-03-24,1106469315.1818101,1170884579.1179452,1164908466.1001227,1035446238.1755614,1143594325.7486663,1040821002.2713195,1070362437.7810695
2022-03-25,1104411121.7868109,1164946231.3908703,1157502259.0836942,1018169593.913882,1127154035.9055173,1023454692.7278224,1063203164.7324494
2022-03-28,1124706414.6576679,1184672797.450081,1185238983.1454773,1042454598.5529137,1151544851.773463,1047865708.8743626,1070349982.8745036
2022-03-29,1107813340.6487696,1170733672.9098978,1170401257.064138,1020287890.9255764,1136343389.848344,1025583977.7069088,1064593443.6778747
2022-03-30,1111829907.639407,1190663852.385255,1189163469.3261142,1022157530.8808998,1142256186.9151726,1027463313.9090419,1070894588.4913698
2022-03-31,1118199127.7882245,1197485185.0644665,1178231725.4947257,1014202920.0483414,1134452827.9396365,1019467396.0264456,1073665805.2022959
2022-04-01,1123696705.7610545,1201949850.2735698,1181208216.5285122,1017357545.1177008,1144438430.1681495,1022638405.2361188,1074776886.6588676
2022-04-04,1140296330.7523222,1209723250.6636386,1195892349.8273377,1028692303.0168196,1152736457.655287,1034031948.1399105,1080464182.5058978
2022-04-05,1147997102.3836436,1250082955.16227,1208171291.1740804,1039246744.2409295,1161643222.9380817,1044641174.4638149,1085335088.8820684
2022-04-06,1134675684.2351909,1250840686.6656108,1197870950.8752449,1030391564.1351503,1139880289.079103,1035740029.7391875,1078641911.0571399
2022-04-07,1140021933.7300224,1252588838.9096107,1193961191.9204795,1027030429.3507866,1146834612.568305,1032361448.2536426,1082157011.8899877
2022-04-08,1171668218.8287153,1295885855.4726167,1215483128.6282668,1045553767.2425652,1174019871.61077,1050980935.4505403,1094830027.593549
2022-04-11,1145118222.02183,1267257837.9328518,1199208244.4318469,1031557570.9096048,1146928966.6223524,1036912088.9231286,1093760981.4466374
2022-04-12,1157235213.2392826,1288548252.1980724,1204942067.544722,1036485099.2195071,1167241136.5608327,1041865194.5842934,1095429123.4266415
2022-04-13,1167188644.5249891,1290920803.165577,1213581435.2948658,1043928115.7323399,1164203704.3554227,1049346845.6736894,1102716429.9493058
2022-04-14,1159040552.9922478,1270569925.9312537,1207920887.9941175,1039061491.9442775,1158047942.1231813,1044454960.6880182,1098579844.1060863
2022-04-18,1163196917.8820539,1295065014.501914,1214234892.541077,1044495806.762671,1189271089.1804256,1049917483.4848309,1104616173.8823576
2022-04-19,1158784737.891864,1276455268.9060018,1201485497.2761176,1033529022.1436043,1164004424.3416371,1038893773.4558022,1093068325.541603
2022-04-20,1184945497.3547766,1309727900.4178894,1223344224.1276844,1052326050.3462123,1199571505.4122033,1057788371.6300681,1097339320.584847
2022-04-21,1198395554.8763711,1318944974.8195443,1239820376.774767,1066511608.8606777,1204448841.5039043,1072047563.1579684,1104753400.263629
2022-04-22,1189154644.7580938,1305987866.131018,1243002089.5567613,1069246278.7786869,1190285040.9207115,1074796427.998214,1097072726.2752564
2022-04-25,1197938948.9142342,1315934303.0115902,1262383759.4553845,1085896664.8725193,1205486180.1855416,1091533241.4224188,1095611054.0261228
2022-04-26,1219878407.1347234,1334456119.4067197,1297091948.3020532,1115742322.2827196,1220664826.3598232,1121533819.059328,1098066746.437378
2022-04-27,1215542989.7521753,1335259853.3707924,1288560619.2822409,1108409600.3210874,1225293737.1688242,1114163034.9927816,1092693640.4357438
2022-04-28,1231751889.1507335,1371974649.873948,1313986834.0487473,1130280488.9916675,1229036514.5594916,1136147449.2697742,1097575000.0370684
2022-05-09,1196494943.5929632,1334828503.3415236,1272808712.18355,1094833073.0391846,1183855381.36478,1100516036.2028074,1049116072.31556
2022-05-10,1198068103.4763732,1346796190.7781522,1300303958.7327778,1131744895.8656776,1194103902.7799025,1137619457.646384,1035457784.5390129
2022-05-11,1227141298.5050972,1380481575.4749978,1313696423.78269,1156209581.0273235,1223088830.0577404,1162211131.9424243,1034912585.8313577
2022-05-12,1174487685.8718061,1326116109.137597,1255322975.4620845,1112485020.6428254,1170588674.9054377,1118259609.9586558,1002061880.1274554
2022-05-13,1182724456.4873161,1341685795.32488,1260990487.2531319,1139145989.7002673,1178759364.4403715,1145058968.4274836,1001781496.457024
2022-05-17,1191077850.5857441,1347191655.269151,1271167270.328691,1147479764.1812534,1187102924.1738248,1153436001.131472,1008837645.8447319
2022-05-18,1234345215.3458142,1391893970.4728932,1354168812.1896174,1172535513.105674,1230245518.9797466,1178621807.2319622,1031452494.1691762
2022-05-19,1227194230.2030187,1385372151.2878323,1367871045.8565285,1154955875.5190833,1223146682.6403518,1160950918.8099852,1035995421.3391101
