tanggal,Inv_No_Buffer,Inv_Buffer_8,Inv_Buffer_10,Hyb_No_Buffer,Hyb_Buffer_8,IHSG
2022-03-22,1018552383.6102936,1033296265.9092736,999583639.0002536,1023839475.2969371,1023839475.2969373,1062943465.1032795
2022-03-23,1013869129.7010906,1030119399.2153311,995128282.9392209,1019131923.5023988,1019131923.5023988,1062228864.8390574
2022-03-24,1035446238.1755614,1048466697.9018189,1006639552.0172848,1040821002.2713195,1040821002.2713195,1070362437.7810695
2022-03-25,1018169593.913882,1029137559.9993329,988255837.5710037,1023454692.7278224,1023454692.7278224,1063203164.7324494
2022-03-28,1042454598.5529137,1047316996.3620837,1007195386.0187242,1047865708.8743626,1047865708.8743627,1070349982.8745036
2022-03-29,1020287890.9255764,1029590113.5906832,992702718.3499408,1025583977.7069088,1025583977.706909,1064593443.6778747
2022-03-30,1022157530.8808998,1029481011.1437175,994599053.946242,1027463313.9090419,1027463313.9090421,1070894588.4913698
2022-03-31,1014202920.0483414,1025911945.3202738,993643245.8660665,1019467396.0264456,1019467396.0264457,1073665805.2022959
2022-04-01,1017357545.1177008,1029624071.8856356,994350422.6200958,1022638405.2361188,1022638405.2361188,1074776886.6588676
2022-04-04,1028692303.0168196,1045369805.7330161,1001304807.1291853,1034031948.1399105,1039994989.4055942,1080464182.5058978
2022-04-05,1039246744.2409295,1053562630.6082517,1005036192.5690414,1044641174.4638149,1048140033.0229092,1085335088.8820684
2022-04-06,1030391564.1351503,1045406303.5345587,991258495.2670116,1035740029.7391875,1040017676.1187032,1078641911.0571399
2022-04-07,1027030429.3507866,1041828351.5481648,994972255.5681925,1032361448.2536426,1036466924.4231119,1082157011.8899877
2022-04-08,1045553767.2425652,1065984707.9854162,1008798785.3387737,1050980935.4505403,1060495861.7292379,1094830027.593549
2022-04-11,1031557570.9096048,1045151265.9929793,990284347.601841,1036912088.9231286,1039776427.8828772,1093760981.4466374
2022-04-12,1036485099.2195071,1041141011.2508212,992054472.5335498,1041865194.5842934,1035789514.277434,1095429123.4266415
2022-04-13,1043928115.7323399,1055055783.3069513,997841106.6771781,1049346845.6736894,1049628599.769074,1102716429.9493058
2022-04-14,1039061491.9442775,1054264433.8875735,992559591.6509304,1044454960.6880182,1048839222.3375322,1098579844.1060863
2022-04-18,1044495806.762671,1075260245.0856824,1012602259.0873348,1049917483.4848309,1069720134.2466307,1104616173.8823576
2022-04-19,1033529022.1436043,1068298494.917057,1007665996.8732547,1038893773.4558022,1062795683.1355865,1093068325.541603
2022-04-20,1052326050.3462123,1080496937.444446,1020010518.9458284,1057788371.6300681,1074954949.3788877,1097339320.584847
2022-04-21,1066511608.8606777,1095045776.826832,1035423202.8877572,1072047563.1579684,1089442982.4143505,1104753400.263629
2022-04-22,1069246278.7786869,1094249988.0497918,1033252640.841849,1074796427.998214,1088650336.4688416,1097072726.2752564
2022-04-25,1085896664.8725193,1090784354.5814846,1039272797.989474,1091533241.4224188,1085211217.5759125,1095611054.0261228
2022-04-26,1115742322.2827196,1104057108.1828597,1045277217.5105637,1121533819.059328,1098415471.3449967,1098066746.437378
2022-04-27,1108409600.3210874,1104904633.8628798,1045333979.8699417,1114163034.9927816,1099250987.01578,1092693640.4357438
2022-04-28,1130280488.9916675,1128113357.8529072,1050132511.8688705,1136147449.2697742,1122320129.68651,1097575000.0370684
2022-05-09,1094833073.0391846,1085501944.0745614,1003756279.826597,1100516036.2028074,1079924745.8552835,1049116072.31556
2022-05-10,1131744895.8656776,1094759514.30502,1037852390.6564316,1137619457.646384,1089126450.702986,1035457784.5390129
2022-05-11,1156209581.0273235,1094394655.5838456,1059503994.1840881,1162211131.9424243,1088763458.7990162,1034912585.8313577
2022-05-12,1112485020.6428254,1050849616.0377156,1015750041.285166,1118259609.9586558,1045442487.1827385,1002061880.1274554
2022-05-13,1139145989.7002673,1072594207.8659555,1035355331.2090397,1145058968.4274836,1067075173.3936105,1001781496.457024
2022-05-17,1147479764.1812534,1083055640.5485897,1045935048.4955728,1153436001.131472,1077482776.310203,1008837645.8447319
2022-05-18,1172535513.105674,1100280732.6745071,1071927494.9918844,1178621807.2319622,1094619242.0092561,1031452494.1691762
2022-05-19,1154955875.5190833,1087399953.3030336,1054719778.9117253,1160950918.8099852,1081804749.8417585,1035995421.3391101
2022-05-20,1170445806.7355278,1091754443.271371,1068013700.9764233,1176521253.7979462,1086136838.8573966,1050390402.011764
2022-05-23,1153474939.6465726,1083767760.7270226,1053511003.7036135,1159462295.8259149,1078191266.582621,1038643349.302303
2022-05-24,1170054734.9209266,1103512904.0631752,1063752263.2564152,1176128152.0421245,1097834809.4885166,1049782632.2258847
2022-05-25,1165651986.1685135,1102121920.92427,1061220718.9694937,1171702549.88902,1096450969.686458,1045130947.0325445
2022-05-27,1181567055.3443828,1124276441.105676,1079559724.3455527,1187700229.6050482,1118491489.4674757,1066805153.3658645
2022-05-30,1177048323.9266663,1126008892.5701277,1076430145.0931818,1183158042.754013,1120215023.6708102,1068522225.335949
2022-05-31,1189503169.7603574,1138898390.3924985,1085539168.2818956,1195677538.1051438,1133038183.3934295,1085437026.361403
2022-06-02,1188306810.8282177,1129287604.2611601,1077705717.471669,1194474969.2183752,1123476834.2431965,1085399513.3690078
2022-06-03,1191245061.7486687,1136430176.5241437,1074467095.018139,1208688498.5158672,1130582670.7496638,1090597879.9969754
2022-06-06,1199220790.30872,1137202355.6713119,1080321641.2354755,1213254456.4386382,1131350876.6639853,1077482863.3830197
2022-06-07,1205368480.3597877,1142736948.9060411,1079402692.1067076,1226924293.1835585,1136856991.6407044,1084233719.2871642
2022-06-08,1231284688.3734121,1166504264.053829,1107719659.1165836,1257645416.9525654,1160502011.9789803,1092169792.9964876
2022-06-09,1209058178.2864168,1145683379.2705166,1089132173.122382,1234048815.64447,1139788261.1278863,1090578011.4555488
2022-06-10,1174974776.8216896,1112079283.5230172,1055362581.1251976,1193210584.562127,1106357075.3829913,1075974559.3706121
2022-06-13,1148144979.5267801,1089363816.844599,1041312639.557678,1156859889.810523,1083758491.2007515,1062126630.8143286
2022-06-14,1174749155.7453763,1113823145.3625546,1060942283.7723505,1185349947.2625816,1108091964.1691647,1070392314.7295581
2022-06-15,1153367264.3847423,1088368470.6313157,1051563106.5308518,1167884719.5644708,1082768266.5637684,1063889074.2297605
2022-06-16,1169770106.3665357,1111418116.4946053,1071797143.9897574,1186852565.9800124,1105699310.3755217,1070459778.8067904
2022-06-17,1154661326.326325,1101925101.7095277,1064065140.3625417,1164805462.2634985,1096255141.9276605,1053248284.1142116
2022-06-20,1180987394.001751,1112894959.2408252,1090100238.931827,1195193656.3026602,1107168554.0145965,1059231977.082972
2022-06-21,1191500517.2687936,1122467107.1434515,1099322366.4336393,1215158899.4369977,1116691448.4034233,1069510018.0447873
2022-06-22,1166134242.1428876,1101448955.0280135,1071769365.2648982,1186269351.2148042,1095781445.2682433,1060436618.6114856
2022-06-23,1170557673.7535868,1103078638.9605906,1075978096.8768117,1181913611.348541,1097402743.651111,1062555583.7273681
2022-06-24,1167772992.3567104,1093428318.6165645,1072044122.647754,1186278100.8174446,1087802079.074166,1069337873.4433221
2022-06-27,1163271882.2517486,1085913191.3482652,1064943630.0425963,1178503965.602973,1080325620.928011,1065256370.9071176
2022-06-28,1181820490.2115417,1098720740.533734,1076302973.644169,1188731330.786487,1093067268.832779,1062280612.0103852
2022-06-29,1152760072.3739583,1075604186.0983129,1057844495.9972922,1168971378.7772057,1070069660.7098577,1054065785.6302999
2022-06-30,1136485392.752487,1067574093.6623706,1043233659.3493832,1147970985.5337465,1062080887.1340741,1049394083.6228359
2022-07-01,1105650753.901136,1035288185.9995722,1028078032.181884,1124224886.3764672,1029961106.710622,1031591277.4137684
2022-07-04,1074253245.5294952,1019016401.8056997,1006455213.869873,1104892178.2360797,1013773049.0592536,1008033711.2804387
2022-07-05,1088204513.8540835,1041383277.7601328,1020275644.6531034,1120081623.3047628,1036024836.1689433,1017765219.0803238
2022-07-06,1072990887.9912535,1014797915.5738934,1003831244.8719018,1102038023.1759992,1009576269.0643264,1009132708.5121874
2022-07-07,1080415199.481767,999998380.9612308,999230897.9801621,1096993750.3584793,994852885.512962,1010070533.3220648
2022-07-08,1083712953.5407894,1007341915.8383553,996609205.8819276,1094112937.585432,1002158634.203623,1023375857.9428943
