tanggal,Investing_Optimal,Investing_Growth,Hybrid_Optimal,Hybrid_Growth,Trading_Optimal,Trading_Growth,IHSG
2022-01-27,972414526.7391849,972414526.7391849,972414526.7391849,972414526.7391849,1021868510.0097655,1021868510.0097655,1003780805.506255
2022-01-28,968269866.3014826,968269866.3014826,968269866.3014826,968269866.3014826,1043801125.9619241,1043801125.9619241,1008996223.494402
2022-01-31,951238317.5996042,951238317.5996042,951238317.5996042,951238317.5996042,1031028520.1169758,1031028520.1169758,1006815873.481873
2022-02-02,973545613.9702764,973545613.9702764,973545613.9702764,973545613.9702764,1020827755.8975635,1020827755.8975635,1018431111.7635111
2022-02-03,951301889.3945148,951301889.3945148,951968692.9946524,951968692.9946524,1020245402.5292354,1020245402.5292354,1014817409.5870161
2022-02-04,953462936.0498592,953462936.0498592,953530595.7226506,953530595.7226506,1015896582.4564022,1015896582.4564022,1022035472.7600815
2022-02-07,958927879.7825567,958927879.7825567,966151466.2206583,966151466.2206583,1023668242.2769351,1023668242.2769351,1033202037.8599505
2022-02-08,948792177.6147532,948792177.6147532,954648294.8779191,954648294.8779191,1023108574.1017848,1023108574.1017848,1030861553.3344307
2022-02-09,963146489.8578476,963146489.8578476,969534025.5862408,969534025.5862408,1032350416.0240532,1032350416.0240532,1037706710.6740032
2022-02-10,967627210.8307912,967627210.8307912,972149640.1015732,972149640.1015732,1041771835.4054985,1041771835.4054985,1036042053.1023839
2022-02-11,970493029.5703478,970493029.5703478,975015458.8411298,975015458.8411298,1044292492.5418932,1044292492.5418932,1034822065.3497087
2022-02-14,966292872.2973855,966292872.2973855,962325716.728142,962325716.728142,1041816948.1830837,1041816948.1830837,1022505348.9375521
2022-02-15,984185514.7604105,984185514.7604105,981880439.9334781,981880439.9334781,1040823224.5993867,1040823224.5993867,1033590734.7356966
2022-02-16,979501802.5742037,979501802.5742037,979061867.4997191,979061867.4997191,1033092744.1058848,1033092744.1058848,1040074106.6940676
